STATE/UT,CODE,LATITUDE,LONGITUDE,PER CAPITA INCOME (INR),POPULATION,AVERAGE TEMPERATURE (°C),1/30/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020
Andaman and Nicobar Islands,an,11.7401,92.6586,"159,664","419,978",29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,17,18,22,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,35,38,38,38,40,41,44,44,45,47,47,48,48,50,56,58,72,72,83,90,97,100,109,116,119,125,141,147,149,156,156,156,163,166,171,176,180,180,184,199,203,208,217,236,255,286,314,334,359,424,466,544,632,730,826,924,1023,1119,1218,1347,1486,1621,1760,1896,2033,2182,2302,2395,2441,2525,2600,2676,2743,2804,2856,2900,2941,2981,3014,3046,3077,3100,3128,3156,3182,3219,3253,3288,3328,3355,3388,3422,3461,3490,3517,3542,3553,3570,3589,3600,3627,3640,3647,3669,3687,3708,3740,3755,3770,3790,3799,3817,3831,3844,3854,3864,3880,3895,3908,3931,3948,3972,3988,4001,4019,4032,4042,4058,4068,4079,4104,4122,4137,4164,4180,4203,4221,4241,4249,4270,4285,4301,4313,4328,4336,4348,4368,4385,4399,4416,4437,4446,4459,4473,4490,4503,4514,4523,4532,4553,4570,4589,4600,4613,4627,4637,4652,4663,4673,4678,4685,4694,4700,4706,4714,4719,4725,4738,4743,4754,4769,4774,4779,4787,4794,4801,4814
Andhra Pradesh,ap,15.9129,79.74,"151,173","52,883,163",31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,5,6,7,8,10,11,13,19,21,23,44,111,149,164,192,256,303,314,348,363,381,405,420,439,484,525,534,572,603,647,722,757,813,893,955,1016,1097,1177,1259,1332,1403,1463,1525,1583,1650,1717,1777,1833,1887,1930,1980,2018,2089,2137,2205,2307,2355,2380,2432,2489,2560,2605,2667,2714,2780,2886,2983,3117,3245,3330,3461,3571,3676,3791,3971,4112,4250,4460,4659,4813,4882,5247,5429,5636,5858,6152,6456,6720,7071,7496,7961,8452,8929,9372,9834,10331,10884,11489,12285,13098,13891,14595,15252,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53724,58668,64713,72711,80858,88671,96298,102349,110297,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,371639,382469,393090,403616,414164,424767,434771,445139,455531,465730,476506,487331,498125,506493,517094,527512,537687,547686,557587,567123,575079,583925,592760,601462,609558,617776,625514,631749,639302,646530,654385,661458,668751,675674,681161,687351,693484,700235,706790,713014,719256,723512,729307,734427,739719,744864,750517,755727,758951,763573,767465,771503,775470,779146,783132,786050,789553,793299,796919,800684,804026,807023,808924,811825,814774,817679,820565,823348,825966,827882,830731,833208,835953,838363,840730,842967,844359,846245,847977,849705,851298,852955,854011,854764,856159,857395,858711,859932,861092,862213,862758,863843,864674,865705,866438,867063,867683,868064,868749,869412,870076,870675,871305,871972,872288,872839,873457,873995,874515,875025,875531
Arunachal Pradesh,ar,28.218,94.7278,"139,588","1,528,296",22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,22,24,34,39,43,45,48,54,54,58,64,83,88,91,95,99,103,103,135,135,139,148,158,160,172,174,177,182,187,191,195,232,252,259,269,270,276,287,302,335,341,360,387,462,491,543,609,650,740,790,858,949,991,1056,1126,1158,1239,1330,1410,1484,1591,1674,1698,1758,1790,1855,1948,2049,2117,2155,2231,2327,2430,2512,2607,2658,2701,2741,2875,2950,3066,3126,3223,3263,3312,3412,3555,3633,3745,3877,4034,4112,4212,4360,4574,4775,4914,5000,5180,5401,5545,5672,5825,5961,6121,6297,6466,6692,6851,7005,7250,7385,7595,7844,8133,8416,8671,8869,9004,9332,9553,9796,10020,10220,10421,10548,10783,11007,11267,11479,11760,11998,12147,12367,12561,12768,12971,13169,13348,13405,13643,13778,13912,14077,14145,14211,14244,14391,14472,14580,14668,14752,14852,14881,14998,15083,15160,15244,15325,15389,15436,15484,15581,15657,15701,15758,15792,15812,15868,15904,15945,15976,16001,16037,16061,16092,16144,16174,16204,16231,16262,16269,16282,16296,16320,16348,16367,16384,16395,16415,16437,16461,16479,16497,16504,16513
Assam,as,26.2006,92.9376,"82,078","34,586,234",23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,23,26,26,26,28,28,29,29,29,30,32,33,33,35,35,35,35,35,35,35,36,36,36,36,36,38,38,43,43,43,43,43,45,46,54,60,62,63,65,65,80,87,90,93,101,116,158,189,211,226,347,393,549,683,784,881,1058,1217,1340,1486,1560,1831,2116,2244,2474,2682,2836,3051,3286,3431,3694,3901,4119,4310,4511,4695,4904,4904,5153,5485,5752,5955,6181,6545,6818,7064,7391,7693,8306,8854,9333,9698,10900,11635,12421,13235,13931,14499,15435,15970,16705,17706,18565,19653,20545,21763,22880,23898,24991,26671,27643,28690,29820,30985,32127,33475,34846,36194,38306,40168,41625,42803,45174,48060,50344,52716,55395,57613,58736,61636,64305,68898,71694,74400,75457,76774,79566,82100,84216,85951,87807,89367,90639,92518,94491,96670,98706,101266,103693,105673,108939,111623,115178,118232,121123,123821,125358,128143,130721,132964,135703,138237,140369,141661,144064,146473,148867,150247,152756,155351,156578,159218,161291,163389,165480,167272,169008,169883,173527,177119,180709,182294,183710,185342,186098,187616,188800,190107,191295,192314,193285,193681,195202,196684,198111,198880,199647,200289,200607,201305,201971,202672,203180,203607,203865,204069,204284,204687,205135,205533,205913,206249,206415,206880,207259,207639,207952,208287,208535,208687,209015,209286,209531,209733,209966,210073,210166,210352,210594,210763,210938,211102,211325,211411,211580,211737,211919,212069,212218,212381,212515,212674,212896,213069,213234,213403,213560,213657,213823,213917,214063,214203,214330,214482,214555
Bihar,br,25.0961,85.3131,"43,822","119,461,013",26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,7,9,11,15,15,21,24,29,31,32,32,32,38,39,58,60,64,64,66,66,72,83,85,86,96,113,126,143,170,223,251,277,346,366,403,425,466,481,517,528,535,542,550,579,611,707,749,879,953,999,1033,1178,1320,1423,1519,1776,1987,2166,2394,2574,2737,2968,3036,3185,3359,3565,3807,3945,4096,4326,4452,4598,4831,5070,5247,5455,5698,5948,6096,6289,6475,6662,6810,6940,7040,7290,7503,7665,7893,8050,8273,8488,8678,8980,9224,9618,9988,10204,10682,11108,11457,11860,12140,12525,13274,13978,14330,15039,16305,17421,18853,20173,21558,23300,24967,26379,27455,28564,30066,31691,33511,36314,38919,41111,43591,45919,48001,50987,54508,57270,59567,62031,64732,68148,71794,75786,79720,82741,86812,90553,94459,98370,101906,104093,106618,109875,112759,115210,117671,119909,122156,123383,124827,126990,128850,130848,132935,135013,136337,138265,140234,142156,144134,145861,147658,149027,150694,152192,153735,155445,156866,158389,159526,161101,162632,164224,165371,166987,168542,169856,171465,173063,174266,175898,177355,178882,180032,181471,182906,184276,185707,186690,187951,188858,190123,191427,192671,193826,194966,196268,197000,198223,199549,200825,201887,203060,204212,205124,206961,208238,209296,210389,211443,212192,212705,213383,214163,214946,215964,216764,217541,218118,218964,219505,220246,220992,221811,222612,223477,224275,224977,225500,226081,226669,226916,227433,227946,228680,229474,229969,230247,230632,231044,231697,232460,233142,233840,234553,235159,235616,236098,236778,237349,237968,238541,239126,239565,240249,240939,241534,242152,242748,243248
Chandigarh,ch,30.7333,76.7794,"329,209","1,126,705",24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,7,7,7,7,8,8,8,13,15,17,18,18,18,18,18,18,18,18,19,19,21,21,21,21,21,21,23,26,26,27,27,27,27,28,36,45,56,68,74,88,94,97,102,119,124,135,146,169,173,181,187,191,191,191,191,191,196,199,202,218,219,225,262,266,278,279,289,289,289,293,297,301,301,302,309,312,314,320,326,328,332,345,350,352,357,365,370,374,381,404,406,411,418,420,423,425,428,431,434,440,446,450,454,459,466,487,492,507,523,536,549,559,588,600,619,635,660,691,717,737,751,780,800,823,852,887,910,934,978,1016,1051,1079,1117,1160,1206,1270,1327,1374,1426,1515,1595,1670,1751,1842,1928,2009,2102,2216,2305,2396,2515,2631,2776,2918,3035,3209,3376,3564,3724,3985,4155,4346,4550,4789,5065,5268,5502,5763,5995,6372,6704,6987,7292,7542,7991,8245,8592,8958,9246,9506,9796,10082,10298,10546,10726,10968,11212,11380,11553,11678,11816,11938,12057,12212,12360,12445,12578,12707,12820,12922,12985,13081,13166,13260,13331,13403,13477,13532,13582,13646,13686,13743,13797,13848,13920,13977,14038,14085,14152,14212,14292,14351,14418,14476,14528,14608,14702,14794,14927,15025,15134,15249,15339,15434,15543,15636,15636,15804,15886,16022,16167,16322,16472,16591,16671,16769,16848,16935,17051,17157,17246,17342,17409,17537,17642,17717,17828,17926,18027,18113,18239,18322,18410,18502,18572,18638
Chhattisgarh,ct,21.2787,81.8661,"96,887","28,566,990",26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,6,7,7,8,9,9,9,9,10,10,10,10,10,18,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,43,43,57,58,59,59,59,59,59,59,59,59,59,60,66,67,85,95,100,114,128,172,214,252,292,360,364,398,415,447,498,547,562,626,773,863,923,1073,1197,1211,1262,1398,1445,1550,1671,1715,1784,1864,1946,2018,2134,2255,2302,2385,2419,2456,2545,2610,2694,2795,2858,2940,3013,3065,3161,3207,3305,3415,3526,3666,3832,3897,4081,4265,4379,4556,4754,5003,5246,5407,5598,5731,5999,6370,6819,7182,7613,7980,8286,8600,8856,9192,9427,9608,9820,10202,10497,11020,11408,11855,12148,12625,12985,13552,14030,14559,15045,15621,16025,16833,17585,18637,19510,20214,20918,22054,23341,24550,25988,27233,28746,30092,31503,33387,35683,37967,40634,43163,45263,47280,50114,52932,55680,58643,61763,63991,67327,70777,73966,77775,81617,84234,86183,88181,90917,93351,95623,98565,102461,104733,108458,110655,113602,116153,118790,121400,123324,126005,128893,131739,134612,137570,140258,142372,145247,147866,150696,153515,155987,158502,160396,162772,165279,167639,170130,172580,174591,175959,177608,179654,181583,183588,185306,187270,188813,190513,192237,194499,196233,197991,199562,200937,202523,204202,205923,207740,209288,210004,210534,211644,213365,215413,217562,219404,221688,223436,225497,227326,229203,230956,232835,234725,235998,237322,239215,240863,242418,243997,245580,246809,248232,249699,251120,252638,254129,255761,257020
Dadra and Nagar Haveli,dn,20.1809,73.0169,unavailable,"343,709",26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,11,14,14,19,20,22,24,29,30,30,35,39,39,54,59,63,77,94,99,114,123,136,156,171,186,190,205,215,231,256,306,343,375,402,429,444,458,472,486,502,527,543,560,578,610,655,692,713,741,777,822,866,903,952,988,1032,1070,1105,1151,1196,1251,1286,1329,1374,1417,1461,1512,1557,1619,1658,1697,1743,1784,1848,1883,1910,1961,1998,2032,2085,2125,2161,2179,2200,2222,2264,2295,2310,2342,2369,2388,2432,2461,2512,2533,2571,2586,2613,2639,2667,2692,2721,2741,2765,2783,2810,2831,2859,2887,2924,2933,2944,2962,2977,2989,2996,3002,3012,3032,3040,3054,3061,3068,3085,3090,3101,3118,3129,3137,3149,3160,3165,3165,3168,3169,3174,3177,3180,3182,3191,3204,3210,3216,3220,3223,3223,3226,3232,3238,3243,3246,3248,3252,3252,3256,3260,3265,3266,3266,3266,3267,3267,3270,3273,3277,3283,3286,3289,3297,3299,3308,3309,3313,3317,3317,3319,3320,3322,3322,3324,3324,3326,3330,3330,3330,3332,3333,3337,3342,3345,3345,3346,3346,3346
Daman and Diu,dd,20.4283,72.8397,unavailable,"243,247",26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,dl,28.7041,77.1025,"365,529","18,345,784",24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,4,4,5,6,7,7,7,7,8,10,14,20,27,27,30,30,35,36,40,49,72,97,120,152,293,386,445,503,525,576,669,720,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,9755,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,87360,89802,92175,94695,97200,99444,100823,102831,104864,107051,109140,110921,112494,113740,115346,116993,118645,120107,121582,122793,123747,125096,126323,127364,128389,129531,130606,131219,132275,133310,134403,135598,136716,137677,138482,139156,140232,141531,142723,144127,145427,146134,147391,148504,149460,150652,151928,152580,153367,154741,156139,157354,158604,160016,161466,162527,164071,165764,167604,169412,171366,173390,174748,177060,179569,182306,185220,188193,191449,193526,197135,201174,205482,209748,214069,218304,221533,225796,230269,234701,238828,242899,246711,249259,253075,256789,260623,264450,267822,271114,273098,276325,279715,282752,285672,287930,290613,292560,295236,298107,300833,303693,306559,309339,311188,314224,317548,321031,324459,327718,331017,333171,336750,340436,344318,348404,352520,356656,359488,364341,370014,375753,381644,386706,392370,396371,403096,409938,416653,423831,430784,438529,443552,451382,459975,467028,474830,482170,485405,489202,495598,503084,510630,517238,523117,529863,534317,540541,545787,551262,556744,561742,566648,570374,574380,578324,582058,586125,589544,592250,593924,597112,599575,601150,603535,605470,607454
