country,latitude,longitude,GDP (billion dollars),per capita income ($),inflation 2019 (%),population
Afghanistan,33.0,65.0,18.734,513,2.59,"37,135,635"
Albania,41.1533,20.1683,15.418,5373,1.80,"2,831,741"
Algeria,28.0339,1.6596,172.781,3980,2,"43,851,044"
Andorra,42.5063,1.5218,3.163,37200,0.90,"77,252"
Angola,-11.2027,17.8739,100.0,3038,17.21,"32,866,272"
Antigua and Barbuda,17.0608,-61.7964,1.611,17464,1.59,"97,929"
Argentina,-38.4161,-63.6167,445.469,9888,54.44,"45,195,774"
Armenia,40.0691,45.0382,13.444,4528,1.74,"2,963,243"
Australia,-31.9505,115.8605,1376,53825,1.90,"25,499,884"
Austria,47.5162,14.5501,447.718,50023,1.53,"9,006,398"
Azerbaijan,40.1431,47.5769,47.171,4689,2.80,"10,139,177"
Bahamas,25.0343,-77.3963,12.425,32997,1.85,"393,244"
Bahrain,26.0275,50.55,38.184,25273,1.40,"1,701,575"
Bangladesh,23.685,90.3563,347.991,2068,5.46,"164,528,823"
Barbados,13.1939,-59.5432,5.087,17758,1.93,"287,375"
Belarus,53.7098,27.9534,62.572,6604,0.88,"9,449,323"
Belgium,50.8333,4.0,517.609,45176,1.51,"11,589,623"
Benin,9.3077,2.3158,14.374,1217,0.50,"12,123,200"
Bhutan,27.5142,90.4336,2.842,3423,3.63,"771,608"
Bolivia,-16.2902,-63.5887,42.401,3671,1.30,"11,673,021"
Bosnia and Herzegovina,43.9159,17.6791,20.106,5742,0.60,"3,280,819"
Brazil,-14.235,-51.9253,1893,8956,0.32,"212,559,417"
Brunei,4.5353,114.7277,13.568,30668,0.07,"437,479"
Bulgaria,42.7339,25.4858,66.25,9518,3.10,"6,948,445"
Burkina Faso,12.2383,-1.5616,14.593,718,-5.40,"20,903,273"
Cabo Verde,16.5388,-23.0418,1.979,3579,1.10,"555,987"
Cambodia,11.55,104.9167,26.73,1621,2.15,"16,718,965"
Cameroon,3.8480000000000003,11.5021,38.632,1515,2,"26,545,863"
Canada,64.2823,-135.0,1741,46213,2.01,"37,742,154"
Central African Republic,6.6111,20.9394,2.321,448,3.03,"4,829,767"
Chad,15.4542,18.7322,11.051,885,2.95,"16,425,864"
Chile,-35.6751,-71.543,294.237,15399,2.22,"19,116,201"
China,29.1832,120.0934,14140,10099,4.50,"1,439,323,776"
Colombia,4.5709,-74.2973,327.895,6508,3.61,"50,882,891"
Congo (Brazzaville),-4.0383,21.7587,11.576,2534,5.50,"5,518,087"
Congo (Kinshasa),-4.0383,21.7587,48.994,501,5.50,"89,561,403"
Costa Rica,9.7489,-83.7534,61.021,12015,2.10,"5,094,118"
Cote d'Ivoire,7.54,-5.5471,44.439,1691,1,"26,378,274"
Croatia,45.1,15.2,60.702,14950,0.80,"4,105,26"
Cuba,22.0,-80.0,100.023,8822,6.90,"11,326,616"
Cyprus,35.1264,33.4299,24.28,27720,0.72,"1,206,531"
Czechia,49.8175,15.472999999999999,246.953,23214,2.56,"10,708,981"
Denmark,56.2639,9.5018,347.176,59795,1.30,"5,792,202"
Djibouti,11.8251,42.5903,2.923,2787,2.18,"988,000"
Dominican Republic,18.7357,-70.1627,85.63,8341,1.80,"10,847,910"
Ecuador,-1.8312,-78.1834,108.398,6368,0.30,"17,643,054"
Egypt,26.0,30.0,302.256,3046,13.87,"102,334,404"
El Salvador,13.7942,-88.8965,26.057,3922,0.10,"6,486,205"
Equatorial Guinea,1.5,10.0,12.142,8927,9.10,"1,402,985"
Eritrea,15.1794,39.7823,2.007,332,-27.60,"3,546,421"
Estonia,58.5953,25.0136,31.038,23524,2.50,"3,546,421"
Eswatini,-26.5225,31.4659,4.711,4267,2.76,"1,160,164"
Ethiopia,9.145,40.4897,91.166,953,14.60,"114,963,588"
Fiji,-17.7134,178.065,5.524,6208,-1.90,"896,445"
Finland,64.0,26.0,269.654,48869,1.19,"5,540,720"
France,46.2276,2.2137,2707,41761,1.21,"65,273,511"
Gabon,-0.8037,11.6094,16.875,8220,3,"2,225,734"
Gambia,13.4432,-15.3101,1.773,755,7.10,"2,416,668"
Georgia,42.3154,43.3569,15.925,4289,4.25,"3,989,167"
Germany,51.0,9.0,3863,46564,1.49,"83,783,942"
Ghana,7.9465,-1.0232,67.077,2223,9.26,"31,072,940"
Greece,39.0742,21.8243,214.012,19974,0.44,"10,423,054"
Guatemala,15.7835,-90.2308,81.318,4617,3.70,"17,915,568"
Guinea,9.9456,-9.6966,12.099,910,8.90,"13,132,795"
Guyana,5.0,-58.75,3.899,4984,2.10,"786,552"
Haiti,18.9712,-72.2852,9.658,869,17.58,"11,402,528"
Honduras,15.2,-86.2419,23.803,2524,4.41,"9,904,607"
Hungary,47.1625,19.5033,170.407,17463,3.37,"9,660,351"
Iceland,64.9631,-19.0208,23.918,67037,2.68,"341,028"
India,21.0,78.0,3202,2338,3.44,"1,380,004,385"
Indonesia,-0.7893,113.9213,1112,4164,3.28,"273,523,615"
Iran,32.0,53.0,458.5,5506,35.68,"83,992,949"
Iraq,33.0,44.0,224.228,5882,-0.27,"40,222,493"
Ireland,53.1424,-7.6921,384.94,77771,1.20,"4,937,786"
Israel,31.0,35.0,387.717,42823,1.05,"8,655,535"
Italy,43.0,12.0,2014,33431,0.60,"60,461,826"
Jamaica,18.1096,-77.2975,15.461,5406,3.57,"29,61,167"
Japan,36.0,138.0,5154,40847,0.79,"126,476,461"
Jordan,31.24,36.51,42.291,4270,2.02,"10,203,134"
Kazakhstan,48.0196,66.9237,170.326,9139,5.32,"18,776,707"
Kenya,-0.0236,37.9062,99.246,2010,5.61,"53,771,296"
South Korea,35.9078° N,127.7669° E,1630,31431,0.46,"51,269,185"
Kuwait,29.5,47.75,141.646,30969,1.50,"4,263,319"
Kyrgyzstan,41.2044,74.7661,8.261,1293,1.31,"4,263,319"
Latvia,56.8796,24.6032,35.045,18172,2.80,"1,886,198"
Lebanon,33.8547,35.8623,56.372,9251,3.09,"6,825,445"
Liberia,6.4281,-9.4295,3.222,704,22.21,"5,057,681"
Liechtenstein,47.14,9.55,6.215,165028,-1.40,"38,116"
Lithuania,55.1694,23.8813,53.641,19267,2.30,"2,725,882"
Luxembourg,49.8153,6.1296,69.453,113196,1.73,"625,978"
Madagascar,-18.7669,46.8691,10.8,1600,6.65,"27,691,018"
Malaysia,2.5,112.5,365.303,11137,1.02,"3,23,25,832"
Maldives,3.2028,73.2207,5.786,15563,1.53,"540,544"
Malta,35.9375,14.3754,14.859,30650,1.66,"441,543"
Mauritania,21.0079,10.9408,5.237,1319,2.80,"4,649,658"
Mauritius,-20.2,57.5,14.277,11280,0.86,"1,271,768"
Mexico,23.6345,-102.5528,1274,10118,3.77,"128,932,753"
Moldova,47.4116,28.3699,11.688,3300,4.94,"4,033,963"
Monaco,43.7333,7.4167,7.185,185741,1.50,"39,242"
Mongolia,46.8625,103.8467,13.637,4133,9.03,"3,278,290"
Montenegro,42.5,19.3,5.424,8704,1.13,"6,28,058"
Morocco,31.7917,-7.0926,119.04,3345,0.65,"36,910,560"
Namibia,-22.9576,18.4904,14.513,6013,4.80,"2,540,905"
Nepal,28.1667,84.25,29.813,1048,4.50,"29,136,808"
Netherlands,52.1326,5.2913,902.355,52368,2.70,"17,134,872"
New Zealand,-40.9006,174.886,203.127,41205,1.44,"4,822,233"
Nicaragua,12.8654,-85.2072,13.118,2031,5.40,"6,624,554"
Niger,17.6078,8.0817,9.299,414,-1.35,"24,206,644"
Nigeria,9.082,8.6753,446.543,2222,11.85,"205,637,340"
North Macedonia,41.6086,21.7453,12.672,6096,0.80,"2,083,374"
Norway,60.472,8.4689,417.627,77975,2.30,"5,421,241"
Oman,21.0,57.0,79.277,18970,0.80,"5,106,626"
Pakistan,30.3753,69.3451,284.214,1388,7.34,"220,427,217"
Panama,8.538,-80.7821,68.536,16245,1.50,"4,314,767"
Papua New Guinea,-6.315,143.9555,23.58,2742,4.40,"8,947,024"
Paraguay,-23.4425,-58.4438,40.714,5692,3.70,"7,132,538"
Peru,-9.19,-75.0152,228.989,7046,1.90,"32,927,774"
Philippines,13.0,122.0,356.814,3294,2.30,"109,581,078"
Poland,51.9194,19.1451,565.854,14902,2.40,"37,850,557"
Portugal,39.3999,-8.2245,236.408,23031,0.90,"10,196,709"
Qatar,25.3548,51.1839,191.849,69688,3.80,"2,876,318"
Romania,45.9432,24.9668,243.698,12483,4.20,"19,249,829"
Russia,60.0,90.0,1638,11163,3.50,"145,934,462"
Rwanda,-1.9403,29.8739,10.209,825,5.00,"12,920,661"
Saint Lucia,13.9094,-60.9789,1.922,10755,1.99,"183,627"
Saint Vincent and the Grenadines,12.9843,-61.2872,0.811,7354,2.32,"110,906"
San Marino,43.9424,12.4578,1.638,48948,1.53,"33,924"
Saudi Arabia,24.0,45.0,779.289,22865,2.20,"34,761,195"
Senegal,14.4974,-14.4524,23.94,1428,1.50,"16,743,927"
Serbia,44.0165,21.0059,55.437,7397,1.90,"8,737,371"
Seychelles,-4.6796,55.492,1.583,16575,3.70,"98,347"
Singapore,1.2833,103.8333,362.818,63987,0.44,"5,850,342"
Slovakia,48.669,19.699,106.552,19548,2.60,"5,459,642"
Slovenia,46.1512,14.9955,54.154,26170,1.80,"2,078,938"
Somalia,5.1521,46.1996,4.721,225,1.50,"15,893,222"
South Africa,-30.5595,22.9375,358.839,6100,5.20,"59,308,690"
Spain,40.0,-4.0,1440,30734,0.70,"46,754,778"
Sri Lanka,7.0,81.0,86.566,3947,4.50,"21,413,249"
Sudan,12.8628,30.2176,30.873,714,62.10,"43,849,260"
Suriname,3.9193,-56.0278,528.929,51242,1.70,"586,632"
Sweden,63.0,16.0,3.427,5798,6.94,"10,093,217"
Switzerland,46.8182,8.2275,705.546,83162,0.40,"8,654,622"
Taiwan,,,586.104,24828,1.10,"23,816,775"
Tanzania,-6.369,34.8888,62.224,1105,4.20,"59,566,228"
Thailand,15.0,101.0,529.177,7792,0.90,"69,799,978"
Togo,8.6195,0.8248,5.502,671,2.00,"8,278,724"
Trinidad and Tobago,10.6918,-61.2225,22.525,16378,1.02,"1,399,488"
Tunisia,34.0,9.0,38732,3287,5.40,"11,818,619"
Turkey,38.9637,35.2433,743.708,8958,12.60,"84,339,067"
Uganda,1.0,32.0,33.93,823,3.20,"45,741,007"
Ukraine,48.3794,31.1656,150.401,3592,5.90,"43,733,762"
United Arab Emirates,24.0,54.0,450.771,37750,1.20,"9,878,844"
United Kingdom,21.69400000000001,-71.7979,2744,41030,1.30,"67,886,011"
Uruguay,-32.5228,-55.7658,59.918,17029,7.20,"3,473,730"
US,37.0902,-95.7129,21439,65112,1.70,"331,002,651"
Uzbekistan,41.3775,64.5853,60.49,1832,14.10,"33,469,203"
Venezuela,6.4238,-66.5897,70.14,2548,43.70,"28,435,940"
Vietnam,16.0,108.0,261.637,2740,3.80,"97,249,013"
Zambia,-15.4167,28.2833,26.72,1503,6.99,"18,383,955"
Zimbabwe,-20.0,30.0,12.818,860,50,"14,862,924"
Dominica,15.415,-61.371,0.533,7542,1.36,"10,847,910"
Grenada,12.1165,-61.678999999999995,1.185,10939,0.81,"112,523"
Mozambique,-18.665695,35.529562,14.396,475,3.91,"31,255,435"
Syria,34.802075,38.99681500000001,24.6,2900,30,"17,500,658"
Timor-Leste,-8.874217,125.727539,2.746,2164,2.29,"1,318,445"
Belize,13.1939,-59.5432,1.925,4862,0.29,"397,628"
Laos,19.856270000000002,102.495496,19.127,2670,3.30,"7,275,560"
Libya,26.3351,17.228331,40.951,6288,9.29,"6,871,292"
Botswana,,,,,,"2,351,627"
Burma,,,,,,"54,409,800"
Burundi,,,,,,"11,890,784"
Guinea-Bissau,,,,,,"1,968,001"
Kosovo,,,,,,"1,810,366"
Malawi,,,,,,"19,129,952"
Mali,,,,,,"20,250,833"
Saint Kitts and Nevis,,,,,,"53,199"
Sao Tome and Principe,,,,,,"219,159"
Sierra Leone,,,,,,"7,976,983"
South Sudan,,,,,,"11,193,725"
West Bank and Gaza,,,,,,4053764
Western Sahara,,,,,,"597,339"
Yemen,,,,,,"29,825,964"
Comoros,,,,,,"869,601"
Lesotho,,,,,,"2,142,249"
Tajikistan,,,,,,"9,537,645"
